idx,story,korean
10,"A bakery has a baker. The kitchen has an oven and various baking tools, and there is a baker in the kitchen. The baker is making the dough and kneading it. The baker then shapes the bread from the well-made dough. The bread is shaped like a teddy bear's face. The bear face-shaped dough is placed in the oven. After some time has passed, the result is taken out of the oven. The baker looks satisfied, and you see a delicious-looking teddy bear face-shaped bread.","빵집에 제빵사가 있습니다. 주방에는 오븐과 다양한 제빵용 도구들이 있으며, 주방에 제빵사가 있습니다. 제빵사가 반죽을 만들고 반죽을 만지고 있습니다. 이윽고 잘 만들어진 반죽을 바탕으로 빵의 모양을 만듭니다. 빵의 모양이 마치 곰인형의 얼굴 같습니다. 곰 얼굴 모양 반죽을 오븐에 넣습니다. 시간이 지나고 오븐에서 결과물을 꺼냅니다. 제빵사는 만족스러운 표정을 보이고, 맛있어 보이는 곰 얼굴 모양 빵이 보입니다."
11,"There are many students and a teacher in a classroom. The teacher is at the blackboard, and the students are sitting at their desks. The students are wearing their school uniforms. After a while, the teacher asks a question to a male student. The student gets up from his seat and answers. After hearing the answer, the teacher looks angry, and the student makes a face and writes in his head. The student sits back down, and the class laughs as if it's funny. The teacher goes back to teaching.","교실에 많은 학생과 선생님이 있습니다. 선생님은 칠판 앞에 있으며, 학생들은 각자의 책상에 앉아 있습니다. 학생들은 교복을 입고 있습니다. 잠시 후 선생님이 한명의 남학생에게 질문을 합니다. 그 학생은 자리에서 일어나 답을 합니다. 그 답을 듣고 선생님은 화난 표정을 하고, 학생은 머슥한 표정과 함께 머리를 글적입니다. 그 학생이 다시 자리에 앉고 학생들이 우스운 듯 웃음이 반에 퍼집니다. 선생님이 다시 수업을 이어갑니다."
12,"A boy and a girl are in the back of a school building. They are wearing their school uniforms. They both have a look of excitement on their faces, and the boy can't hide his nervousness. The boy hands the girl a letter. The girl is surprised and takes the letter. The boy nods, covering his face with the letter as if embarrassed. The boy is pleased to see that. The two walk away, hand in hand. ","학교 건물 뒷편에 남학생과 여학생이 있습니다. 학생들은 교복을 입고 있습니다. 두 사람 다 설레는 듯 얼굴이 상기되어 있고, 남학생은 떨림을 숨기지 못합니다. 남학생이 여학생에게 편지를 건내줍니다. 편지를 받은 여학생은 놀라며 편지를 받습니다. 여학생은 부끄러운듯 편지로 얼굴을 가리며 고개를 끄덕입니다. 그 모습을 보고 남학생은 기뻐합니다. 그리고 둘은 손을 잡고 걸어갑니다."
13,"A girl is being held by her father. The girl is hitting her dad, and the dad looks like he doesn't know what to do. Together, the father and the girl walk to the refrigerator. The dad opens the refrigerator door and takes a yogurt out of the fridge. The girl looks delighted. Dad puts a straw in the yogurt and hands it to her. She drinks the yogurt and looks satisfied. Dad puts her back in his arms, and they look at each other and smile.","여자아이가 아빠에게 안겨 있습니다. 여자아이는 아빠에게 때를 쓰고 있으며, 아빠는 어쩔 줄 몰라하는 표정을 짓고 있습니다. 아빠와 여자아이는 함께 냉장고 앞으로 갑니다. 냉장고 문을 열고 냉장고에서 요구르트 한개를 꺼냅니다. 여자아이는 기쁜 표정을 합니다. 아빠는 요구르트에 빨대를 꼽아 여자아이에게 건내주고, 여자아이는 요구르트를 마시며 만족스러운 표정을 합니다. 여자아이는 다시 아빠의 품에 안겨 있으며, 둘은 서로 마주보며 미소를 보입니다."
14,"A woman is watching a movie in a movie theater. There are several people in the movie theater. The woman is eating popcorn. After a while, a surprising scene is shown, and the woman jumps up in surprise. The popcorn goes up in the air with her. The people around her look at her and smile. Another moment later, a sad scene occurs, and she starts to cry. The people around her also look sad. Towards the end of the movie, an emotional scene is shown and the woman smiles. However, there are tears running down her face along with her happy expression. The people around her have the same expression.","영화관에서 여자가 영화를 시청하고 있습니다. 영화관 좌석엔 여러 사람이 있습니다. 여자는 팝콘을 먹고 있습니다. 잠시 후 놀라운 장면이 나오고, 여자는 깜짝 놀라 튀어 오르는 듯 놀랍니다. 팝콘도 함께 공중으로 튀어오릅니다. 주변 사람들이 여자를 보고 웃음을 보입니다. 또 잠시 뒤 슬픈 장면이 나와 여자는 울음을 터트립니다. 주변 사람들의 표정도 슬퍼 보입니다. 영화 막바지 부분, 감동적인 장면이 나오고 여자는 웃음을 보입니다. 다만 기쁜 표정과 함께 눈물이 흐르고 있습니다. 주변 사람들 또한 같은 표정을 하고 있습니다."
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
